"A01";"Q03";"Q04";"Q04A";"Q05";"Q06A";"Q06B";"Q08";"Q08C";"Q09A1";"Q09B1";"Q10A1";"Q10B1";"Q19A";"B08A";"B08B";"pm17B"
10588;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"6";"16";"2";"2";4,80156317033065e-05
37192;"2";"1";"1";"1";"1";"3";"1";"1";"1";"1";"2";"6";"17";"3";"1";4,80156317033065e-05
37196;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"6";"4";"15";"1";"1";4,80156317033065e-05
37227;"2";"1";"1";"1";"1";"2";"1";"1";"1";"4";"2";"2";"NC";"2";"1";4,80156317033065e-05
37231;"2";"1";"1";"2";"1";"2";"1";"2";"1";"1";"2";"2";"16";"1";"1";4,80156317033065e-05
8827;"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"6";"6";"15";"5";"3";4,82241958868305e-05
8848;"2";"1";"1";"1";"1";"1";"2";"1";"4";"1";"8";"2";"15";"1";"1";4,82241958868305e-05
10263;"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"7";"6";"16";"2";"2";4,82241958868305e-05
10265;"2";"1";"1";"1";"1";"1";"1";"2";"1";"2";"6";"8";"16";"1";"1";4,82241958868305e-05
43895;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"7";"6";"13";"4";"4";5,06991998883518e-05
41970;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"5";"14";"5";"5";5,14592988746596e-05
42064;"2";"2";"4";"2";"1";"1";"1";"1";"1";"3";"6";"8";"14";"3";"3";5,14592988746596e-05
43894;"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"6";"6";"16";"2";"2";5,14799298711563e-05
4955;"2";"1";"1";"1";"1";"1";"2";"2";"1";"1";"5";"4";"12";"2";"5";5,17423953514523e-05
41377;"2";"1";"1";"1";"1";"1";"1";"1";"1";"3";"3";"8";"16";"4";"4";5,2311963815871e-05
41291;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"7";"7";"15";"3";"2";5,25181342596078e-05
41453;"2";"1";"1";"1";"2";"2";"1";"1";"1";"3";"4";"8";"13";"5";"1";5,25181342596078e-05
41404;"2";"1";"1";"2";"1";"1";"1";"2";"1";"1";"6";"7";"14";"5";"2";5,25391898104392e-05
11920;"2";"1";"1";"2";"1";"1";"1";"1";"1";"2";"2";"8";"16";"3";"3";5,26647610881479e-05
13854;"2";"1";"1";"1";"1";"1";"1";"1";"4";"1";"8";"6";"14";"4";"2";5,26647610881479e-05
14712;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"2";"6";"10";"5";"3";5,26647610881479e-05
37573;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"6";"4";"12";"3";"1";5,26647610881479e-05
43925;"2";"1";"1";"2";"2";"2";"1";"1";"1";"2";"3";"8";"16";"3";"3";5,27789164557649e-05
854;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"7";"7";"14";"5";"4";5,34543284863235e-05
12231;"2";"1";"1";"1";"1";"1";"4";"2";"1";"1";"1";"4";"10-";"5";"5";5,34543284863235e-05
